comment,amount,link
,0.01,https://etherscan.io/tx/0x226f1061a8d2fc4122e4c50e735f540cd1cbf5f09b3ce0736390bd7bc329b336
a,0.004,https://etherscan.io/tx/0x7e72b07ccffb85634d3875033a38f2691a239f9625e6950273eb0ab4f4735b1d
,0.007,https://etherscan.io/tx/0x1ebc452e2129f60ce0323ea3dd40b59120a7ab8c719ab81091bfb2557d463b58
,0.0046,https://etherscan.io/tx/0x30e6c0324c06cd64fd9e7453d8952d382c2a9185190588e10ed0562f58e5e807
Why did you leave us!,0.02,https://etherscan.io/tx/0x4c56eda6183c03b6479a7b0993ea9aab69a20dba6a54097bc45d275ab1e690f7
On behalf of Mr. D's 8th Grade Social Studies Students - Class of 2022.,0.0048,https://etherscan.io/tx/0xc24ee290aafe011f436239fd78c302c29e77d49da0d9219cc5b7c812b85a779b
,0.0058,https://etherscan.io/tx/0xf519a9bb18c07d2e564d351d893f660d77ea59f0801c1f0f51604c957f618bd2
Whoever cannot destroy me will make me strong. — Danny Wang-641219,0.01,https://etherscan.io/tx/0x5b652f5076e70a5d706e647c7553e29e8c3f300534412c1bee5173e56cba5ab7
,0.98,https://etherscan.io/tx/0x78978d45735192a581bf0e2022f772677fe6db82414e7536caf059062b768bb3
,1,https://etherscan.io/tx/0x53983a22e8d7307e242825ee8c4fa082d72ba4a68ecef98cb5db695b87e4e03e
,0.02,https://etherscan.io/tx/0xe958d6c7299300d630c32af52bd75213243c1205fb7edc2a197e83eb7e94e8a6
We the People,0.0805,https://etherscan.io/tx/0x7cd3645bd2219d5c5970997ee2e602432c64455e8c71731a5cba55bfa41291ec
"On behalf of my ancestor & founding father🇺🇸- Eliphalet Dyer, we preserve our family’s historical contributions to the Continental Congress. We the ppl, Charles “Chase” Dyer",0.0000,https://etherscan.io/tx/0x6c237eabd623b2e59ccc9077061216e2873f8389f1952007929a93f960dce674
,0.002,https://etherscan.io/tx/0x6933cc9bdca94ba634c07d381ba56cce394596df710dd23aab331c5d85789b99
USA,0.04,https://etherscan.io/tx/0x739cde79df5aa70ab39afe5dd705859e559b20dab503472e53644aa631493afd
you only yolo once,0.01,https://etherscan.io/tx/0x3a83ffe407063b052e63cd5c4e06b507ed5675c6d539a2f228829616f23aa01c
,0.01,https://etherscan.io/tx/0x2218693b16bcb02f6e97014661193576ca3b43f5b254b2e67ae00a342bb5e809
for a more perfect union,0.025,https://etherscan.io/tx/0xa8b4324a6aec6ce1644abc9997d3288a3e0b1d1bcfa4ab84428976f3d4f5e352
shoutout to all my paper hands,0.01,https://etherscan.io/tx/0x793ee84211f591598de913c1430c2b17dac86ce27847957c1c813b9445404637
let's buy the mf constitution,0.06,https://etherscan.io/tx/0xe0d8fd60d7ba243ee8ace98531c09879be6ae78b71043265725d0c69d74cbf81
1,0.01,https://etherscan.io/tx/0x0146818d35fc0541f24214957ff34fda247216e41165f17d50c117a9f510729c
"OF THE PEOPLE, BY THE PEOPLE, FOR THE PEOPLE",0.1,https://etherscan.io/tx/0x671c4231b210bd9e0b058a2e61ed9a953c10f829f6e10efae61d61e3f9fd8ce4
0,0.01,https://etherscan.io/tx/0xfc7e22d68c0873f54573088580cf6e3b31f1bbb69863d2c458c859f3c965a670
0,0.01,https://etherscan.io/tx/0x13bb9ad11562f2009ae8410e2eb188397db96cb6fe63920e659ede572de22cf8
0,0.1,https://etherscan.io/tx/0xe9d06c131898f257c8aa09b1542929d5570a9a93763a353bfbb8378e2c9aa696
,0.1,https://etherscan.io/tx/0xd92cc6037bc50c5030d55f1d46d1a29677974557803d6b424fa3c8c3e4d0e412
,0.1,https://etherscan.io/tx/0x49ce0c5e2f5f7a8ad79596e65c1a7eeed29b9cd318ba5758542bc1f3369fcc32
0,0.01,https://etherscan.io/tx/0x066c86313ce8c820ef0c7178a036e06e9f8c980800a157f53ecb7541b9e88abd
0,0.5,https://etherscan.io/tx/0x7e16b852548b67a9db3670c864a4d72bb8d5777cba9f46b92d18dda2232dc2d0
DIFTS,0.01,https://etherscan.io/tx/0x428fbcf81ce269f4212a0038c019de06477d3e8ced3c05bb74d885fa6258fdcb
Take the Constitution back.Hope you success.That's a historic moment,0.032,https://etherscan.io/tx/0x8b3d298c009d9a88753895eb5c587288d992c96546e39c300f751a01ac170cba
Take the Constitution back.Hope you success.That's a historic moment,0.04,https://etherscan.io/tx/0xbd3993c194499b6067706f35d14c77dda32b11103ef1b88d534e5833e5df1406
"started from the (immigration hell) bottom, now we here frens",0.05,https://etherscan.io/tx/0x9ebca0cad1011f0b063861c0ece1fa173a7be847a5da34d30697087835f6f9d5
WAGBTC,0.0115,https://etherscan.io/tx/0x8824fcc4e3c7b577268f0fa8521ea22ce75e4ca780c8686d48385e663634424a
"""""",0.02,https://etherscan.io/tx/0x626ee429caa2cdb421ed656ade8dc1620dad9b1d1786060c873604d5d518512d
0,0.01,https://etherscan.io/tx/0x96c7544fa675c5deb6197392ff9c0af298f11c1da3171cdcc791b0f6a5f9b639
,0.01,https://etherscan.io/tx/0x85f56f183357cb4842f3f1883e7615731bd48047419d18ef7c8c710ba7a9a057
,0.105,https://etherscan.io/tx/0x8f35636aba92857f12f959ea42e42ef976e0a049c2e7f58706ebb29d0b9ae423
test,0.01,https://etherscan.io/tx/0x053ccabc6b74bae5b53820b876eadbea1b12c5040f96ac29a62656d08fe68f0f
,0.01,https://etherscan.io/tx/0xf63cbbb31a7f57b187a451b3c550549afa20d4536a7edded115507b0daabe9a8
,0.0818,https://etherscan.io/tx/0x6df64c5d77af94f0719ff401062fa644ded5537cc7f104298bc64bad0d795630
test,0.01,https://etherscan.io/tx/0x1a422076512bacb7e9d07bdeca4369a679486d31c8a2f3345dc71457635f7a3d
1,0.01,https://etherscan.io/tx/0xb490514b058c100dc4a18377f5d0cdc05c1203eca7ef101c0efec59a7a28d8d8
hiii,0.4,https://etherscan.io/tx/0xdb7b2bca1290572ce519fe60ae89d9889cbd8f10ca6ace6c90b8e0735c0a619b
we the people,1,https://etherscan.io/tx/0xaeaf207c48cbc4c99c55ad7709397036ffaf9b898e545c38cd57fa1b088545d7
,0.0473,https://etherscan.io/tx/0xc5ae74fe89985860c445c7713b66fe1f9fd5463fde57454e65086abd3308127f
,0.01,https://etherscan.io/tx/0x6d93addedff5a71ed33d8d37e7a035229a8883a805903632c70c91e34b56ae50
,0.1,https://etherscan.io/tx/0xccac19e0b8dd790a9715da67a04a5c2dfc7e25aa0c83d980e480820377695dc8
,0.01,https://etherscan.io/tx/0x0991c15c702fc3581c2d2eb3f6a45999ffc5225d1433403a49c88b5f9d5bb90a
,0.01,https://etherscan.io/tx/0x2ac2d66b3cacc216e87ffa8f22620ddc760f21968e2327299dbb4ef71c0ca5ce
LFG,0.009,https://etherscan.io/tx/0x0838cacbfacbc3c2c1c4dca9b066bdaf7866a80ff014f5d93170add2d4608d5e
,0.001,https://etherscan.io/tx/0x27cedb1f8d7018606ef6f2aeae931630628948cdb2cb3309ff3e73063f26e1de
USA！,0.01,https://etherscan.io/tx/0xa8eeba41d9b65a231fa0dd7505b0bbcb060f91c73b51ceeb082b4d18cf99189a
,0.0234,https://etherscan.io/tx/0x6369c078bf95b656fab1dc551439b773e7d584f133d4852bc2426cde5ca27586
,0.05,https://etherscan.io/tx/0x5a2ae14c3d77c05a88eaac434a8ffd5ea60aac8e02a390fc64a68a7ba226d680
,0.0007,https://etherscan.io/tx/0x875b87dc8e2f5eacc5cffe2a1ffb0fd880416476a74d450ed2acec309d2d2316
,0.001,https://etherscan.io/tx/0x16ea377abd1d57da0dd6ccec008868d6662a9ea730a95cca93396d03eaf4a9f3
,0.01,https://etherscan.io/tx/0x51d9fc948ac7643c8b877ecb9aa290658848fea11c5ede2404d1cb27b4b9ac64
,0.085,https://etherscan.io/tx/0x2617e48034271a22f137e0dd5dad33db32087bfad0b2c47ad9965c0ef7c81223
,0.5,https://etherscan.io/tx/0xffc99a05275bae19d835858a570a6fade52243bc8e2f78214795cb88df7d7c88
,0.01,https://etherscan.io/tx/0x8d45870b07b7da1307588302139f7c17d9ab8dcd16aced46f8ccdfcfe35fa031
Dolla slice of da const,0.0047,https://etherscan.io/tx/0xe73b0a21bc12ccf3127469c8c94b3865ea2d0a9a64d33ab47bb23a6d20beed48
for freedom,0.1,https://etherscan.io/tx/0xe19dda9db834819a6f63c565ca0baa51c3c866013357c166aa92410d31dd205c
,0.003,https://etherscan.io/tx/0xf4eb1a1b933669cfea9dc2808b450974116f085708f5ea164522a56c48760178
:),0.0212,https://etherscan.io/tx/0xd7c12a66fc516b1c706c99b5e07341c5d34dba021bf65011240c8c8d95553546
🧑‍🍳,0.0463,https://etherscan.io/tx/0xd7031b06d239064de2d42e30778779a702bf6811801cf09ebd56da4cfd92345c
from a Venezuelan living in the US that believes this is the way.,0.0600,https://etherscan.io/tx/0x200b5833754d9031f8c71767aef4c564b751635db55714bb977695d89d76c328
God bless America!,0.005,https://etherscan.io/tx/0xbf9e95318b467dda1016572b70fbcbcfe55acf61f7a5b22e664d17bd16bae07e
,0.0117,https://etherscan.io/tx/0x895aeadb9c9197349b41d2cce26d1af0db3b7dc83932e2d41ab5db316ba77ed3
,0.0117,https://etherscan.io/tx/0x23131d90397beba288e504899375d86599c538acd3850a0e8c19482c70901624
0x6688F3F12b2801Ac7fe895c02045E2C58FbD9c0f,0.1,https://etherscan.io/tx/0x81b045080e544e662e2ced87a67f3e5df5daefae3e1ba85a678e08507f3a6fc9
just fun,0.1,https://etherscan.io/tx/0x0aea6755a41f3c50f7cb8482522bce38900ecc6d361e46ef3adfbc29baf7ff8e
你好，世界,0.0023,https://etherscan.io/tx/0x385160a4953ac8991c8f854c376db35dc203598102caa17304d2767fced83598
We the people. William Williams. Robb,0.0011,https://etherscan.io/tx/0xd659955be81900d8a68ff6e119710b9b8f57007fcb7e7ee808a6c04d70630023
Eelis convinced me,0.0069,https://etherscan.io/tx/0x4047b447d30c36df3b17cc989bc5b2b0aa79944cec992bdbef585172c78beb9c
,0.004,https://etherscan.io/tx/0x2b8a2db485f5010d161533dbaefda26a6748465036274d5eccfdaba2535b9e8d
,0.0122,https://etherscan.io/tx/0x5a4c0c181bb57abf5352b23ff137a915b911c66df7ef2ef6f0d8ce4473022dad
,0.07,https://etherscan.io/tx/0x2150080dc1f4682a539816ba6f45e8e732129844a305e1a45c06d69e105efae2
,0.001,https://etherscan.io/tx/0x13c6b627efe68853c7e28d18971afe3f8fc3f83ab421465657f5e040e6f571e3
,0.0000,https://etherscan.io/tx/0x0fcae16dff6030ca1f403214dba7785e76c1f0a9d4787667dfbd8febbc30a071
,0.01,https://etherscan.io/tx/0xb4101e3d30cd3379a729bfb971de778983335f8751bcb4333bef098a24b6d834
,0.02,https://etherscan.io/tx/0x6496f6d8a0e4156580af243f63fcbd26f496f595b4cd4a43eccd97594e749f59
,0.01,https://etherscan.io/tx/0xa31f6dcc73894cba8bddf85dce9bd6cb4d257a70c49889b167ad99477f71f74f
theblockbeats.info,0.03,https://etherscan.io/tx/0xd9bda03537008ea2ff4ceddaa4675497f00eb89d52b9fdf68d2071f71e262f98
people,0.2,https://etherscan.io/tx/0xbbf7f58ed2e9dfeee8cc038f223c5c10751ae103ec114abdc5f7d98131e43415
,0.02,https://etherscan.io/tx/0x393430681ea9cd7ebd7331b5eb812848ca06a8fe757814aea40529168e165dae
gm,0.0133,https://etherscan.io/tx/0x6cc6aaa4bbbbc3b738d792766ea19633dc0ea619afabca2f075ca2acbcb45971
AugustoL,0.01,https://etherscan.io/tx/0x1a4527571c284e1813c5244a78431b8fc77700b5132d3803759019382d451ebe
Home of the free baby!,0.005,https://etherscan.io/tx/0xef6e8b0f58c2c662ddde97a4fdc68b2552de882ee69cd38a7343e6c69df6c4b4
Home of the free baby!,0.005,https://etherscan.io/tx/0xe9f1c5776db4c88ee3a528d8de15eb7173a32f2c83c35ffe2e6ce19a220f9e5d
,0.1,https://etherscan.io/tx/0xfd7bd57c30ecbd7b04ee03e6908f6fbe75849d2c524186fe917c5314947767d1
haha,1,https://etherscan.io/tx/0x438729d6c9359a073cdfe4a6d1d3e9d18514b4d9c259ae9296a43fc6bc0142bb
None,0.9,https://etherscan.io/tx/0x58fed94b0f0a22138628694a643c9633a3a0f012fd069bae5e00a9eb51e35dc3
None,0.5,https://etherscan.io/tx/0x6395675473b33dc4a3dccde13a3124e221ccfcc65cc5b4fdabdb366f12c96bfe
,0.05,https://etherscan.io/tx/0xa91d8b0b9141ad57fa2cf8572e02dfb8fb7862a50fefae48eb5101436be3a6bd
For the American dream.,0.005,https://etherscan.io/tx/0x38ef8c8134f56f8837441aee77565ffd48f68f177cba11d87b3a91bec837c0ec
,0.0071,https://etherscan.io/tx/0x29f908cab79d41181208e43554bfc2ee19e00afd197183154f3af6d6cf813589
,0.01,https://etherscan.io/tx/0xc42d3a4f62810c561a26ba1a95de63a449634580aebefeca96692ebae1203999
'wagbtc',0.1,https://etherscan.io/tx/0xf7d65e3441674fff5041a1ae679c026afe143d0cdf1160c1f3813a273c9fcfab
,0.025,https://etherscan.io/tx/0x1b1fd5dcdd21b46f4f49b3a2d673b8f2435fbec963dfc7786319c16945777680
,0.0234,https://etherscan.io/tx/0x6ca92cd5dc5931aa7b3067653f928f72e9ea0ece083f84810854b52fa825c0ac
For the People,0.0696,https://etherscan.io/tx/0xdcf680713f4a7a1fe670b1967b2b7da0d3a0aac5d718d7d814b17b6279669b57
For the Peeple!,0.1,https://etherscan.io/tx/0xc9136df0e1259c11bfc425ec9b46f3a5e0bb4963970b1a797f7b1d4da937d79b
"""We the people...""",0.03,https://etherscan.io/tx/0x101e54ef1708d3c7f8e83d06d9284a23ea80242f55fa03715a11260b9b1ed82d
OKAY RAMBLERS LETS GET RAMBLIN,0.035,https://etherscan.io/tx/0x9fa48bb91d6fea1702a396818f7f0cf1296d3b72840e1024e7da1fb1f6418e61
timigodconstitutes,0.1,https://etherscan.io/tx/0x71ea18918ed039cbacfebab446dde5333df479d29c5b9ed5ef55c81e76987c8c
,0.0061,https://etherscan.io/tx/0x8ecdbcd3a3b86f1bd20ac724f6d765228508c80ee9cfe4fedb3a9821102449ed
,0.05,https://etherscan.io/tx/0xc0fe34c42050650301a2332f9d7c8a13cba268d691d2496bb94605457bfab3e4
"""The U. S. Constitution doesn't guarantee happiness, only the pursuit of it. You have to catch up with it yourself.""",0.0117,https://etherscan.io/tx/0x892fe1977cbf2ddf0f44fd894260ea25ecbde6849409b39f7212f23780847f36
"We the people, are going to buy the constitution :)",0.025,https://etherscan.io/tx/0xb0e99e839812ed11bc94b75a0c90ca995cd161912fa3763433296d0a83e8f2d1
干他妈的,0.115,https://etherscan.io/tx/0x3da5f491cdd59fcf3c2c5f29beb717ab37c225cd947b1114773f1f68625434fd
wagbtc,5,https://etherscan.io/tx/0x742b662fe98caa0e47d6daf6b0dfe94437fc036726d7b254dcf910d6fd2b8826
Rush FratDAO,0.01,https://etherscan.io/tx/0xbce3aee98ca945835348a87bd682b944bf235318578dcd70fcfc3a3a31b94c4b
,0.01,https://etherscan.io/tx/0x8064c6e2e72c84492f157aee2b54cc51239ec6f433f8d7c2853d783a46b11e7c
'yes',0.05,https://etherscan.io/tx/0xe0249b340d898d08a90a97f78ba22e11a3c5c5d4bb5eafd8db5df42de73764fe
this was sent with no pantsu.👖pantsu are hoots and hoots are the root of all evil,0.0001,https://etherscan.io/tx/0xd42b4e34c21d84449a78c1d35a8364ffb2314e82f35231fe830a31624d6d4ea6
pee pee poo poo,0.0001,https://etherscan.io/tx/0x302b3da2e5be9c167411ed4de61e82c0bca3d29d504d5b5c8dec2516ed15c69f
Always wanted to live through a revolution 🇺🇸,0.0177,https://etherscan.io/tx/0x6632fbcfc720bd5b9049e05aedb6b4f8b3aa4c2eaaff75226b1749a836d695e6
Image what our country could become if we were able to channel the energy present in this DAO. This is for everyone who has ever believed in me. Thank You.,0.0305,https://etherscan.io/tx/0xe8d4064770ab369f9e18b0ff10138226edfe6836d4f9556ec099e204c2c36a33
buy,0.1,https://etherscan.io/tx/0x81cfce34a60bfd16ae80cac9e4c712b7f53a42451f9608b081052d6034fd49e5
Still up for mint! Stop it!,0.75,https://etherscan.io/tx/0xea6d4e219991d9df9b5596b81b4084914eb5818dde73ede1d7a4523732fdfc74
I AM ONE OF THE PEOPLE!,0.04,https://etherscan.io/tx/0x6c384b132648708ffbacd1024ff3421705bc747335c06528affc44a176e4788f
"Historic moment, glad to be part of it!",0.0060,https://etherscan.io/tx/0x69cf3aef654a6deb5e547c44c599ac73be73b036defbaf52ff3507a284df4a47
Back once again for the renegade master D4 damager power to the people.,0.5,https://etherscan.io/tx/0x84449775f53fad4bb8642c25cbcf052cae54a2e224c4a85534ec86ab5e3db27e
"mahdi was here, no pantsu",0.0001,https://etherscan.io/tx/0x65cef6a35793676973061f1337aea11c304986f34f833753b1b6939fa77b5d81
lesgooo,0.1,https://etherscan.io/tx/0xdbf330f021df46ba38e8a48a3b349b5f65a591f991a0a93fb1c6bdffde424b17
"this is a scam, you can still contribute on etherscan to mint more PEOPLE",0.001,https://etherscan.io/tx/0xbeb117c4d288395d4932cc2251d3bf9ee4896dd7eecab231f3c90940316ff9c9
"Back once again for the renegade master, D4 damager, power to the people.",50,https://etherscan.io/tx/0x467c05d95f17b6fd566914959c638a117e769eaeba8cf388851b250d40cae905
lgb,0.46,https://etherscan.io/tx/0x9355c5278077f1ac951d737c6aef1267ef13917ab86d8843c15afeb4cd746d6d
,0.05,https://etherscan.io/tx/0x135137fe9a9e153db77e9ca199e98efb742e328085f86c61d11e64f6b828118c
,25,https://etherscan.io/tx/0xe2d02c4b9035564a14b2e1ec6d159807849dc77fff70ae3605786fc652b62dfc
,1.2321,https://etherscan.io/tx/0x918fce16412a42094094eb371850c988c421458bb162d6d6e117c66bf68bca18
,10,https://etherscan.io/tx/0x1aae4a5d3e27b9527ce8630c47d3bd08a78bd8379abb498887ec51c864edbe90
,0.001,https://etherscan.io/tx/0x9da7bf627568081586fe4b044548d590a427e74c8c59944df9f14fcf2ba6e840
Historic moments regardless of end results start with one impacted moment. Let's start the timer...~ck027,0.01,https://etherscan.io/tx/0x6a50acf0a6f5ee15a1fe608e8bf91df13737d6c3837875493d0f2697ccf0e1fc
MAKE AMERICA GREAT AGAIN!!!,1,https://etherscan.io/tx/0xa41aa00a34140392f3bf6d37a5bbf74ecb33d997c12a0b572d33321ae8dac115
Lets Go!,0.1,https://etherscan.io/tx/0x579f64aa32628687798a716c0f6a78e86f3aea8bae0e509b25561a77cb2588bb
,0.025,https://etherscan.io/tx/0x8e89ad1f5616e3a30bb4733d6cc5b074a84dab1b3ecbd6c13d700ed792957820
